query,value,init_query
nft meaning,100,NFT
what is nft,85,NFT
nft art,75,NFT
nft crypto,57,NFT
crypto,57,NFT
opensea,49,NFT
opensea nft,49,NFT
buy nft,41,NFT
nft marketplace,37,NFT
nft price,34,NFT
nfts,24,NFT
what is an nft,24,NFT
nft coin,24,NFT
create nft,23,NFT
nft token,22,NFT
game nft,22,NFT
sell nft,21,NFT
best nft,20,NFT
nft ape,20,NFT
nft games,19,NFT
binance nft,18,NFT
binance,18,NFT
how to make nft,18,NFT
what is a nft,16,NFT
how to buy nft,15,NFT
the quest,100,Shadow Quest
the shadow,100,Shadow Quest
dragon quest,22,Shadow Quest
shadow of war,17,Shadow Quest
shadow of war quest,17,Shadow Quest
sign of shadow quest,17,Shadow Quest
sign of the shadow quest,16,Shadow Quest
sign of the shadow,16,Shadow Quest
the shadow dragon quest,10,Shadow Quest
oculus quest,7,Shadow Quest
shadow oculus quest,7,Shadow Quest
oculus,7,Shadow Quest
sign of shadow shrine quest,6,Shadow Quest
sign of the shadow shrine quest,6,Shadow Quest
sign of the shadow shrine,6,Shadow Quest
shadow pc,4,Shadow Quest
shadow tomb,4,Shadow Quest
dragon quest 11,4,Shadow Quest
shadow priest,3,Shadow Quest
dragon quest xi,3,Shadow Quest
dragon quest 11 the shadow,3,Shadow Quest
shadow vr,3,Shadow Quest
shadow of the tomb raider,3,Shadow Quest
side quest,3,Shadow Quest
oculus quest 2,3,Shadow Quest
drippies nft,100,Drippies
