mid,title,type,search_term
/g/11g0g4sbp3,Non-fungible token,Topic,NFT
/m/06w57ds,nftables,Topic,NFT
/m/031d4k,Niagara Frontier Transportation Authority,Corporation,NFT
/m/02n0qb,NFTY,Youth organization,NFT
/g/1v9l8jyb,NFT,Topic,NFT
/g/11j67yd6rl,The Shadow of the Gods,Topic,Shadow Quest
/m/06fjvt4,The Law and The Promise,Topic,Shadow Quest
/m/0c1x527,The Yosemite,Book by John Muir,Shadow Quest
/m/03j5j,Heart of Darkness,Novella by Joseph Conrad,Notorious Alien Space Agents
/m/0n073,Common cold,Disease,T-O-S The Other Side
/m/01fsq_,Strange Case of Dr Jekyll and Mr Hyde,Novella by Robert Louis Stevenson,T-O-S The Other Side
/m/02gnpl,Holi,Festivity,T-O-S The Other Side
